,job_title,company,job_description
209,Admin Assistant,OHM Engineering Pte Ltd,"['Computer skills (Microsoft Words, Excel, PowerPoint, etc).'
 'Familiar with Time Software is an advantage.'
 'Diary/schedule management.'
 'Excellent verbal and written communication skills.'
 'Strong coordination and follow-up skills.'
 'Strong attention to details.'
 'Good understanding of administrative process management.'
 'Strong organizational and planning skills.'
 'Ability to multitask and prioritize daily workload'
 'Provide information and clerical support to the department regarding admin activities, policies, processes, and procedures.'
 'Update records and/or inputting information into the computer system.'
 'Organize and maintain files and records.'
 'Plan and schedule meetings and appointments.'
 'Answer phone calls and emails.'
 'Serve as a point person for mailing, office supplies and errands.'
 'Screen and distribute mail, fax, and any other documents.'
 'Execute any other ad-hoc duties or projects as may be assigned.']"
210,Technical Manager (IT),Pacific International Lines (Pte) Ltd,[]
211,Software Engineer in Test,Pace Enterprise Pte. Ltd.,"['Expand our existing test automation framework and test coverage.'
 'Develop new tests and tools for our Pace frontend, backend APIs and services.'
 'Setup and maintain test environments.'
 'Develop working knowledge of the entire Pace application stack including tests at all levels. (Unit, Integration, and End-to-end).'
 'Collaborate with a Product Manager and with the wider product and development team to understand how new features should be tested and to contribute to automated tests for these new features.'
 'Collaborate with engineers to define and implement mechanisms to inject testing earlier into the software development process.'
 'Identify, share, and nurture the adoption of best practices in code health, testing, testability, and maintainability in collaboration with the wider Quality department.'
 'Strive for the fastest feedback possible. Test parallelization should be a top priority.'
 'You see distributed systems as a core challenge of good test automation infrastructure.'
 'Track and communicate test results in a timely, effective, and automated manner.'
 ""Bachelor's degree in Computer Science, Information Technology, Engineering, Mathematics, or a related field""
 '3+ years of relevant working experience' 'Strong multitasking skills'
 'Self-starter who is excited about technology'
 'Troubleshooting and support experiences'
 'Experience managing full application stacks'
 'Excellent oral and written communication skills'
 'Working knowledge of Docker'
 'Experience with Continuous Integration systems (e.g., Jenkins, Travis, CircleCI)']"
212,Information Technology Security Officer,ENSIGN INFOSECURITY (CYBERSECURITY) PTE. LTD.,"['Stay abreast of the current threat landscape and cyber security events'
 'Develop and deploy security hardening guidelines based on best practices'
 'Perform analysis of vulnerability results & work with principal vendor to ensure remediation'
 'Propose and enforce mitigation measures for failing security controls or vulnerabilities'
 'Work with Patch Manager to ensure system patches are applied'
 'Manage vendor/business associate security assessments and VA/PT'
 'Develop security framework, policies and procedures that provide adequate information systems protection'
 'Educate the project team on security framework, policies and procedures'
 'Verify the effectiveness of each security measure, and to make certain all security measures will continue to be effective after implementation'
 'Maintain good operational security documentation'
 'Experience in the administration and hardening the various operating systems such as Microsoft Windows or Linux'
 'Strong technical understanding of IT Security controls'
 'Positive working attitude'
 'Professional certifications such as RHCE, MCSE, ISACA CISA or CompTIA CySA+ would be an advantage']"
213,Administrative Manager,Ministry of Rojak Pte. Ltd.,"['Supervising day-to-day operations of the administrative department and staff members.'
 'Supervises clerical and administrative personnel by communicating job expectations, appraising job results, and disciplining employees.'
 'Planning and coordinating administrative procedures and systems and devising ways to streamline processes'
 'Ensure the smooth and adequate flow of information within the company to facilitate other business operations\xa0'
 'Manage schedules and deadlines'
 'Monitor costs and expenses to assist in budget preparation'
 'Oversee facilities services, maintenance activities and tradespersons (e.g electricians)'
 'Organize and supervise other office activities (recycling, renovations, event planning etc.)'
 'Ensure operations adhere to policies and regulations'
 'Keep abreast with all organizational changes and business developments'
 'Monitors and procures needed supplies for office, reception, mailroom, and kitchen.'
 'Ensures a safe, secure, and well-maintained facility that meets environmental, health, and security standards.'
 'Manages the maintenance and repair of machinery, equipment, and electrical and mechanical systems.'
 'Hiring, training, and evaluating employees, taking corrective action when necessary.'
 'Developing, reviewing, and improving administrative systems, policies, and procedures.'
 'Ensuring office is stocked with necessary supplies and all equipment is working and properly maintained.'
 'Working with accounting and management team to set budgets, monitor spending, and processing payroll and other expenses.'
 'Planning, scheduling, and promoting office events, including meetings, conferences, interviews, orientations, and training sessions.'
 'Collecting, organizing, and storing information using computers and filing systems.'
 'Overseeing special projects and tracking progress towards company goals.'
 'Building new and expanding existing skills by engaging in educational opportunities.'
 'Bachelor’s degree in business administration, management, or related field.'
 'Experience in related field, such as management or financial reporting, preferred.'
 'Exceptional leadership and time, task, and resource management skills.'
 'Strong problem solving, critical thinking, coaching, interpersonal, and verbal and written communication skills.'
 'Proficiency with computers, especially MS Office.'
 'Familiarity with budget planning and enforcement, human resources, and customer service procedures.'
 'Willingness to continue building skills through education opportunities.'
 'Administrative writing and reporting skills'
 'Availability to work within opening hours (e.g. evenings, holidays, weekends)'
 'The ability to work under pressure.']"
214,Guest Relations Officer X30 (Prestigious 5*Hospitality MNC!),Search Index Pte Ltd,"['\n'
 'Responsible for checking in guests such as registering and assigning rooms to guests.'
 'Issue apartment access card and escorts guest to their apartment.'
 'Manage guests’ accounts and information, and apartment availability in the system'
 'Receive and transmit messages to guest promptly.'
 'Handle guest queries pertaining to facilities, services, registration and information regarding shopping, banking, dining, entertainment, and local events etc.'
 'Arrange tours, taxis, and restaurants reservation for guests.'
 'Handle and record guest feedback and complaints, and refer issues to supervisor or respective departments when necessary.'
 'Responsible and accountable for handling and safe keeping of cash and guest valuables.'
 'Perform simple bookkeeping activities, such as balancing cash accounts.'
 'Make and confirm reservations.'
 'Handle walk-in, email and phone enquiries.'
 'Assist in property viewing for walk-in guests or on behalf of the Sales Department.'
 'Perform any other duties as required and directed by the Front Office manager or Management.\xa0'
 'Diploma in Tourism Management/Hospitality related discipline'
 'At least 1-3 year of guest service/customer service in the hospitality industry'
 'Good communication and coordination skills'
 'Organized, neat and well-groomed' 'Able to work independently'
 'Knowledge in MS Office (i.e. Outlook, Word, Excel)\xa0'
 'Working Hours: 5 days (7am-430pm, 11am-830pm, 130pm-11pm, 1030pm-8am)'
 'Location: Town/East\xa0']"
215,System Admin – Server Management,GMP TECHNOLOGIES (S) PTE LTD,"['Performing routine audits of systems and software and perform system backups.'
 'Performing standard or project change request as per change window.'
 'Applying operating system updates, patches, and configuration changes.'
 'Responsibility for system security compliance, health check & server hardening.'
 'Responsibility for documenting incident RCA report the configuration of the system and System performance tuning.'
 'Monitor availability, performance to ensure proper functioning of server systems and applications.'
 'Plan and participate in disaster recovery tests, experience in full system recovery and restoration.'
 'Monitoring utilization and plan for server systems capacity upgrade.'
 'Ensure compliance with IT security standards, policies and procedures.'
 'Diagnosing and resolving any system issues or problems'
 'Liaise and work with other technical teams including Application Developers and vendors.'
 'Administer enterprise-sized VMware-based virtualization infrastructures covering vCenter and stand-alone ESXi environments version 6.5 and later.'
 'Design, plan, implement and administer IBM enterprise server and storage technologies in support of underlying virtualization infrastructure.'
 'Installing, configuring and integrating servers associated with a VMware virtual infrastructure.'
 'Perform ESX hosts upgrades, Standard and VDS network troubleshooting, Virtual Center upgrades, storage management'
 'Administer global Active Directory Infrastructure, global DNS and related Zones.'
 'Implementation and manage of Domains, Domain Controller'
 'Group Policies, Power shell scripts and Domains upgrade for large organization.'
 'Plan and implement Group Policies Objects (GPO) to ensure compliance of security standards to domain controllers'
 ""Troubleshoot and maintain high availability's for Active Directory, GPO.""
 'Identify opportunities, continually review and improve the security posture of Active Directory.'
 'Administer global Active Directory Sites/subnet design and deployment.'
 'Degree in Information Technology and relevant discipline.'
 'Good Knowledge on HA, DRS, FT, VMotion and Update Manager, Microsoft permission types, precedents and managing ACLs.']"
216,Business System and Process Manager (Business Operations Support),Apple Inc.,"['Crisis Management & Leadership Communications'
 'Problem Management based trending analysis'
 'NPI & Peak Events Mission Control Support and systems-related post-ops management'
 'Working with Information Systems & Technology team on System upgrades (Support pack, infrastructure changes, enhancement and fixes) & systems downtime communication'
 'Systems readiness & scalability test engagement.'
 'Program/Project management on system hardening initiatives. System Enhancement Requests & Prioritization'
 'Conceptual understanding of multi-tiered web-based information systems architecture. (Technically savvy with production support experienced on SAP modules, APO, EDI & Database Applications would be a bonus)'
 'Good understanding of end to end supply chain processes in a high velocity manufacturing environment.'
 'Strong interpersonal and problem solving skills, able to work with management and cross-functional teams, manage complex situations with structured approach.'
 'Powerful communication and presentation skills – Ability to translate technical issues to executive communications on business impact and resolution strategies.'
 'Strong leadership to develop skill sets for a team of SMEs (Subject Matter Experts) to bridge between Operations and Information Systems & Technology support teams.'
 'Extensive knowledge of project management methodology. Self-driven and ability to work independently with minimum supervision. Good analytical skills & ability to influence decision making.'
 'Relevant experience in projects/process implementation with ability to communicate at all management levels and ability to influence decisions. Solid foundation of SAP knowledge & supply chain operations models related to Order Management / Logistics Supply Chain arena. Extensive knowledge on presentation tools usage and comfortable in making presentation to cross-functional business teams & management updates.'
 'Ability to work with ambiguity'
 'Support business activities around new product launches and major events. Lead system scale initiatives to prepare for high volume events and seasonal peaks.'
 'Work with IS&T applications, infrastructure, business and project teams to define processes and procedures to monitor systems health.'
 'Manage post ops process on system related findings. Project manage system enhancement/hardening initiatives.'
 'Provide single point of contact for high priority issues, ensure communication to senior management, business and support teams on timely basis.'
 'Taking lead role during critical management situations and organize support teams towards impact mitigation. Follow-up on issues root cause resolution with corrective / preventive measures.'
 'Early engagement in application life cycle process and collaborate with project team in defining business support models.'
 'Provides effective change leadership in driving continuous improvements and innovation in business support processes and tools.'
 'Manage SME’s network (as applicable) to ensure adequate cross training to provide job rotation and cross functional support coverage at all times.'
 'Business degree (Business Process related preferred) with at least 8 ~ 10 years of experience in fast-paced manufacturing environment, in Supply Chain related areas.']"
217,COMPUTER AND INFORMATION SYSTEM MANAGER,PARAMOUNT STRATEGIES PTE. LTD.,[]
218,Regional Master Data Specialist- Materials,DSM Singapore Industrial Pte Ltd,"['Manage the master data entry processes for SAP and ensure the value of the master data is maintained by enforcing policy and procedures'
 'Collaborate with business owners to further develop and publish master rules, processes and systems to support product master data'
 'Ensure accuracy, completeness, timeliness and management of product master data collection'
 'Ensure compliance with business standards and procedures, as adopted by the company and work to continuously improve data standards, quality, repositories and processes that include original input, change functions, auditing and cleaning'
 'Implement, manage and take ownership of standards/templates'
 'Generate detailed extraction, cleaning and reporting designs necessary to satisfy requirements including a KPI of data accuracy to drive continuous improvement'
 'Establish, enforce and coordinate execution of workflow procedures to bring about timely and accurate population of master data elements'
 'Maintain relationships with all stakeholders managing or utilizing master data within the information system'
 'Ensure consistency and integrity of master data elements which exist in multiple information systems or documents'
 'Bring the facets of business requirements/IT requirements/information together to find the most effective and efficient solutions to serve internal/external customers better'
 'Identify potential situations that may impede the successful maintenance of service level agreements in processing data to address the business needs of the organization'
 'Monitoring of IDOC electronic flow to ensure that information between the 2 systems (P45 & Q26) are transmitted correctly']"
219,Information Security Risk Manager,R SYSTEMS (SINGAPORE) PTE LIMITED,"['Plan and conduct the security review for bank’s IT systems throughout the lifecycle covering different layers of technology architecture to identify the risk.'
 'This covers both in-house and 3rd party hosted systems.'
 'Work closely with business stakeholders to ensure security risks are identified, communicated, understood and assist stakeholders to make informed risk decision.'
 'Evaluate information security solutions/processes and provide risk advisory.'
 'Develop, drive and constantly improve the security risk assessment processes to identify the risk in a practical and context-based approach.'
 'Information security risk assessment or security architecture, preferably in a FI environment.'
 'Good understanding of wide areas of security technology domains and deep in one or more security domains in application or infrastructure security area.'
 'Familiar with the regulator requirement related to the information security areas.'
 'Good understanding of the key aspects of IT principles such as SDLC, architecture, implementation & Operation, IT infrastructure, vendor & contract management, IT audit, IT governance, risk management and business continuity planning'
 'Industry leading certifications such as CISSP, CISM, CRISC, etc.']"
220,System Administrator,YUDO ASIAN PTE. LTD.,"['Responsible for deployment, troubleshooting, maintenance, upgrade and support of IT infrastructures, including WAN, LAN, firewall, servers, PCs, operating systems, email systems, applications and associated hardware and software.'
 'Perform server administration tasks, including user administration, security permissions, print services, research event log warnings and errors, and resource monitoring, ensuring system architecture components work together seamlessly.'
 'Perform system backup and recovery'
 'Support Navision and ERP System for South East Asia companies'
 'Perform on-going performance tuning, resource optimization, repair and recovery from hardware or software failure for desktop and servers'
 'Pro-actively anticipates technical risks and issues and ensures that appropriate mitigation planning is in place to avoid compromising delivery.'
 'Maintain a high level of user satisfaction with new and existing technologies.'
 'Any other IT support and project'
 'Bachelor/ Diploma in Computer Science/ Information Technology or its equivalent'
 'Minimum 5 years’ hands-on experience in system administration role, individual contributor role'
 'Good in work prioritization and able to work independently with minimal supervision'
 'Excellent communication and project coordination skills']"
221,Manager - Information & Technology,Singapore National Co-operative Federation Ltd (SNCF),"['Manage the infrastructure (systems) and end-user computing for the organisation'
 'Ensure that essential cyber-security and data security (especially personal data) are in place to protect data/information'
 'Configure, deploy and support IT hardware (including laptops, mobile devices, peripherals), network equipment and telecommunication lines in a cloud environment.'
 'Provide support (managing and resolving end-user requests) related to computers, mobile devices, office equipment and related applications'
 'Coordinate with equipment vendors and 3rd party suppliers to resolve technical issues'
 'Maintain accurate inventories of software and hardware assets'
 'Decommission / Dispose IT equipment; in compliance with personal data protection requirements'
 'Ensure essential measures are in place for cyber-security; maintain the security health of systems and ensure timely remediation of security findings'
 'Ensure that policies and procedures are in place from a technology perspective to protect data (especially personal data)'
 'Take on special projects as assigned by management'
 ""Bachelor's degree in Computer Science /Information Technology or relevant field""
 'At least 5 years of relevant experience in supporting and maintaining IT infrastructure, networks, data communications and end-user computing'
 'Strong fundamentals in cyber-security'
 'Knowledge of personal data protection is preferred'
 'Expert knowledge in Microsoft product & office applications'
 'Excellent interpersonal and communication skills (oral and written), with a strong command in English '
 'Strong attention to details, methodical and structured'
 'Resourceful, proactive, a good problem-solver'
 'A team player who is also able to work independently as well as able to multi-task'
 'Passionate to work in an environment to help communities-at-large and to create social impact']"
222,ICT Infrastructure System Engineer (Entry Level) ,CENTRAL PROVIDENT FUND BOARD,"['Interest in servers administration, operating systems, current equipment and technologies where you will respond to hardware issues as they arise to help build, test and maintain the servers'
 'Academic or working knowledge of a range of products such as Linux, Unix, Active Directory, VMware, Microsoft Windows, Netbackup, etc'
 'Good understanding of server, storage and networking concept'
 'Enjoy troubleshooting to perform root cause analysis and to provide technical support'
 'Ability to perform routine/scheduled maintenance of the systems including all backups'
 'Position will be on 2-year contract']"
223,Systems cum Software Engineers – Up to $6K #JobsThatMatter #WorkNow,Achieve Career Consultant Pte Ltd,"['Lead to produce Enterprise Architecture, SOA, ESB API integration and data warehouse system architecture.'
 'Project and vendor management on Enterprise Architecture Integration, System and Software Development.'
 'Gathering and analyzing customer requirement and make proposal.'
 'Liaise with sales team to work on tender proposals.'
 'Maintain knowledge on latest industry IT systems and recommend according to project requirements.'
 ""Bachelor's Degree in Computer Engineering/Science or IT related discipline""
 '4 years’ experience in a completed Life Cycle Software Development, preferably in Web Services and Database Systems'
 'In-depth knowledge of C++, C#, Java, Python, script language etc.'
 'Experience in API integration for ESB or SOA and Data Warehouse integration'
 'Good working knowledge in Cloud Service Setup, IP Network or IT Security Design and Configuration']"
224,"Snr Infra Engr, Network/ Information System Security Engineer",EPS COMPUTER SYSTEMS PTE LTD,"['These are formal policies that detail and document actual mechanisms and controls and should include at least the following: '
 'Administrative: Risk analysis and management, documentation management and controls, information access controls and sanctions for failure to comply. '
 'Personnel Security: Personnel only have access to the sensitive information for which they have appropriate authority and clearance. '
 'Physical Safeguards: Assign security responsibilities, control access to media and the controls in place against unauthorized access to workstations and related equipment. '
 'Technical Security: Set the access and authorization controls for everyday operations as well as emergency procedures for data. '
 'Transmission security: Set the standards for access controls, audit trails, event reporting, encryption and integrity controls.'
 'At least 5 to 7 years of relevant experience in IT/Network security'
 'Possess any security certification: CCISSP, CISA, CISM, CGEIT, CCISO Experience in IT Audit, GRC and penetration testing'
 'Good interpersonal and communication skills']"
225,Human Resources Generalist,OMRON ASIA PACIFIC PTE LTD,"['Support HR activities such as Talent Acquisition, Training & Development and Human Resource Information Systems (HRIS). Ensure that all activities are aligned with OHSG policy & direction'
 'Coordinate and execute HR processes including but not limited to onboarding, transfer and leavers. Contribute to the optimization of HR processes, signaling bottlenecks and initiating improvements'
 'Ensure accurate and up to date personnel administration, preparing employment agreements and letters, et cetera. Ensure up to date and accurate data entry in HRIS. Maintain personal records of employees.'
 'Coordinate the business process outsourcing payroll and ensure a timely and correct payroll administration of employees.'
 'Prepare other periodic and ad hoc management information as required by the Management. Prepare reports and gather information for internal and external audits of the HR department.'
 'Contribute in the execution and administration of compensation and benefits programs such as benchmarks, annual merit increase and bonus.'
 'Support in the update of HR policies and processes and ensure that company policies, procedures and legislation are understood, implemented and correctly practiced throughout the business.'
 'Provide general organizational and administrative support to the HR Business Partner.'
 'Bachelor’s Degree in Human Resources or relevant discipline.'
 'At least 2 years experience in HR generalist'
 'Good understanding in HR across 4 COEs'
 'Knowledge in HRIS tool is preferred' 'Proactive and target oriented.'
 'Works with high pace and with a high level of accuracy at the same time.'
 'Good knowledge of Word and Excel.'
 'Proficient in the English and local language, both written and verbal']"
226,"Research Associate, Maritime Systems",NATIONAL UNIVERSITY OF SINGAPORE,"['Collaborating with partners from both the academia and the industry to lead and/or conduct innovative research on, but not limited to the following areas:'
 'Development of Simulation and Optimization Platform.'
 'Port, Yard, Terminal, Land Interface Layout, Operations and Disruptions.'
 'Sea Channel Study.'
 'Optimization and Strategies of Maritime Energy Management.'
 'Performance Analysis of Maritime Systems.'
 'Contribute to academic research in the relevant domains, and publish high-tier journal papers and conference papers.'
 'Lead student projects and industrial projects with implementable outcomes.'
 'Respond to the deliverables of research and industrial projects, including Proposal and Report writing, presentations of results and outcomes.'
 'Honours or higher degree in Industrial Engineering, Computer Science, Operations Research, Statistics and Mathematics, or in other relevant science and engineering disciplines.'
 'Outstanding data analytics, mathematical, and computer modelling skills.'
 'Outstanding academic/publication records.'
 'Proficient in communication and academic writing.'
 'Self-driven and strong team spirit.'
 'Land/Maritime and Port Logistics and Transportation, Supply Chain Network, Manufacturing.'
 'Simulation Modelling.' 'Statistical Modelling.'
 'Data Mining and Analytics.'
 'Optimisation and Heuristics Algorithm Development.'
 'C#/JAVA/Python/R/MySQL Programming.' 'Machine Learning.'
 'Artificial Intelligence.' 'Operations Research.'
 'High-tier journal publication potential.']"
227,Systems Development Engineer (Firmware and Microprocessors),Dell Asia Pte Ltd,"['Conceives and defines concepts for consumer, commercial and gaming peripherals, systems, and solutions'
 'Work with technology providers, influence the technology roadmaps of microprocessors and controllers'
 'Develops algorithm to improve peripherals performance, low latency, interference immunity, security, and more.\xa0\xa0'
 'Writes the engineering specifications and responsible for end to end integration, troubleshooting, resolve issues related to performance, compatibility, reliability, and security of the peripherals'
 'Provides technical expertise and support for next generation initiatives, take lead to influence the shaping of future wireless products'
 'Experience working with embedded systems, multi-core processors, shared memory, and peripherals control. Microprocessors from Nordic, TI, Cypress, Synaptics, NXP'
 'Understand key industry standard electrical bus interfaces, including PCIe, USB, Type-C (including Power Delivery) and video interfaces such as D/P and HDMI'
 'Experience with wireless technologies – RF, BT/BLE, Wi-Fi, interference performance enhancement, power management and wireless security'
 'Experience in Bluetooth middleware/stack development with latest Bluetooth chipset'
 'Hands-on experience in C/C++/C# programming, excellent debugging skills, and experience using debugging tools such as JTAG and debuggers'
 'Familiar with security and encryption standards and USA federal security requirements.'
 'Familiar with Real time OS embedded system coding development environment'
 'Degree in Engineering or Computer Science'
 'Minimum 10 years experiences in embedded systems design with microprocessors and controllers in PC/IT industries']"
228,Backend Engineer Intern (Computer Vision)-2022,TIKTOK PTE. LTD.,[]
229,Senior Systems Analyst,Global Search Partners Pte Ltd,[]
230,Business ICS Management Information - Analyst,STANDARD CHARTERED BANK (SINGAPORE) LIMITED,"['Working with the CISRO Reporting team to present a slick and best-in-class dashboarding for reporting of ICS risk'
 'Improving and embedding business focused dashboarding skills within the CISRO Reporting team'
 'Providing insight to senior stakeholders and risk/board committees in a easy to read, professional and slick presentation'
 'Data Analytics and Data Pre-processing activities to massage and make raw data ready for business presentation'
 'Dashboarding skills'
 'Experienced in use of Business Intelligence tools e.g. Tableue, Microstrategy, Power BI etc'
 ""Experience in marketing and sales -presentation and pitch to senior stakeholders - to bring a customer's view of the world""
 'Data Analytical skills'
 'Working with teams across different locations (Poland, India, SG, Malaysia)']"
231,"Manager (IT Governance), Office of Data and Digital Governance",Singapore Health Services Pte Ltd (SingHealth HQ),"['Degree in Computer Science, Information Management or Management Information Systems or related fields'
 'Minimum 8 years of Information Technology experience, preferably with at least 5 years in IT governance and risk management.\xa0Preference will be given to candidates with Project Management experience.'
 'Certification in ITIL, COBIT, PMP would be advantageous'
 'Possess strong communication and interpersonal skills with the ability to get buy-in from stakeholders']"
232,,,[]
233,,,[]
234,,,[]
235,Competency Executive. Local Bank. Town. 4K,Rebel Search,"['Checklist of competency guidelines, regulatory standards, and lender information collated by you.'
 'Up to date, concise reports for system before approval of each facility.'
 'Work with bankers to conduct basic due diligence, KYC checks by account class.'
 'Conduct inter-FI checks on companies’ or owners’ backgrounds as part of loan process.'
 'A good degree or related to banking.'
 'You should be meticulous and good with people (liaise with CFOs)']"
236,Senior Systems Engineer,XJERA LABS PTE. LTD.,[]
237,Application Engineer,TOSS-EX PTE. LTD.,"['Developing Functional and technical design of safety systems.'
 'Implementation of modifications and as-built processing.'
 'Compilation of customer and internal documentation;'
 'Design and implementation of functions and interfaces to In House and third-party systems.'
 'Responsible for design, implementation, realization, optimization en refurbishment of supervisory control and information systems.'
 'Factory Acceptance Tests (FAT) and Site Acceptance Tests (SAT).'
 'Supports the technical representative in discussions with the client as and when required.'
 'Education on bachelor level specialized in Instrumentation, computer science, process automation or equivalent;'
 'Experience in Safety systems design and configuration, site commissioning'
 'Excellent in writing and speaking English'
 'Customer focused, service minded, accurate and flexible'
 'Proactive attitude, team player'
 'Excellent communicator, self-starter and self-reliant'
 'Willing to travel']"
238,"Management Information System Analyst (MGR/AVP), Service Analytics & Quality, Commercial Service Centre, Global Wholesale Banking Corporate Office",OCBC Bank,"[""Manage department's data repository ""
 'Develop an interactive service metrics dashboard'
 'Provide data mining, analysis and reporting of customer satisfaction, service forecast & volume, productivity to identify customer needs and improve operational efficiency'
 'Deep dive into customer interaction trends, service processes and suggest improvement opportunities to provide better customer experiences'
 'Work closely with workforce manager on resource workload & scheduling to support business initiatives'
 ""At least Bachelor's degree in Computer Science, Statistics, Mathematics or related field or equivalent""
 'At least 5 years of related work experience'
 'Strong analytical, process & reporting capabilities coupled with interactive dashboard design experience'
 'Knowledge and proficiency in at least Excel Macros, data programming & visualisation tools. Proficiency in workforce management tools is advantageous but not essential'
 'Passionate about customer service with excellent problem solving, communication and interpersonal skills'
 'Ability to think independently and take on new challenges in a fast-paced service environment']"
239,Information Security Consultant,Paramount Computer Systems FZ LLC on behalf of First Abu Dhabi Bank,"['Maintain Security Policies/addendums, Standards, and Procedures pertaining to the international location.'
 'Review and ensure the international security policies /addendums are aligned with regulatory requirements.'
 'Review the information security and compliance as per regional regulatory requirements. (ISO27001, GDPR, PCI DSS and Central bank regulations, or and any other as applicable)'
 'Review new regulatory security legislations, provide interpretations if necessary; monitor action plans towards its implementation.'
 'Coordinate for the group for various regulatory security audits at international locations'
 'Review BRDs, Solution Design, Concept Design and any other requirements from regional business units and local IT teams meets the security policies of the group.'
 'Perform Technology Risk Assessments, Third party Risk assessments and Review RCSA remediation and for International Location are.'
 'Review the PCI DSS compliance for regional locations as applicable.'
 'Monitor and track all international open issues with IT and concerned international SPOCS Assist GSO office and BU in attaining information security compliance objectives.'
 'Identify issues that could impact the bank and escalate any serious issues/ breaches/ violations; develop/monitor action plans for its closure in liaison with local, overseas branches, and business groups.'
 'Instigate and maintain contact with local Regulatory Authorities and Regulatory compliance department for new regulatory requirements.'
 'Assist Head office during Regulatory Examinations; ensure implementation/regularization of observations linked to compliance while meeting the deadline(s).'
 'Respond to queries that are sought by local Regulatory Authorities / Law Enforcement Agencies/Head Office & Overseas branches, in timely manner with complete and accurate information.'
 'To support the GSO - BCM team by performing Business Impact assessments, BCM planning for Intl. location and assist in Business Continuity initiatives.'
 'Work for closure all open observations with Local IT/GIT and concerned SPOCS in International Location and HO.'
 'Conduct the security awareness program for respective regional staff and ensure the program is conducted.'
 'Participate in group CSIRT for information security incident and data breach handling. Coordinate with International Location Business units/Fraud Risk / GSO for digital forensic investigation.'
 'Review and assess the regulatory compliance circulars/notices, and security controls as applicable.'
 'Work with Head Office teams to conduct the vulnerability assessment and penetration testing and work with IT to remediate on highlighted issues.'
 'Review Management Dashboards/Security MIS related to Patching, VA, PT, Baselines and end point security controls.'
 'Security Compliance requirements at respective International location.'
 'Highlight security status & concerns to management.'
 'Consult with IT and information security staff to ensure that implementation plan is established. Review and provide recommendations to IS policies, standards, guidelines/ processes with respect to international regulatory requirements.'
 'Actively participate and contribute to GSO initiatives.'
 'Track open Audit issues on information security to closure.'
 'Risk assessments for local implementations.'
 'Inform HO on any new 3rd party technology vendor for vendor assessment ELIGIBLE.'
 'Bachelor (or) Masters in Engineering/Technology (or) Master in Science graduates with 8+ years of experience in information security.'
 'Candidate with Certifications like CISA, CRISC,CISSP will be desirable.']"
240,,,[]
241,Information security officer,SearchElect,[]
242,"Manager, Information Security",Singapore Post Limited,[]
243,Server Support Engineer,INFOCHOLA SOLUTIONS PTE. LTD.,"['Manage and monitor and install server and network infrastructure'
 'Install, configure, test, and maintain operating systems, application software, and system management tools'
 'Proactively ensure the highest levels of systems and infrastructure availability'
 'Monitor and test application performance for potential bottlenecks, identify possible solutions and work with developers to implement those fixes'
 'Maintain security, backup, and redundancy strategies'
 'Write and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasks'
 'Participate in the design of information and operational support systems'
 'Provide 2nd and 3rd level support'
 'Liaise with customer and other IT personnel for problem resolution'
 'BS/MS degree in Computer Science, Engineering or a related subject'
 'Proven working experience in installing, configuring, and troubleshooting Windows and UNIX /Linux-based server environments.'
 'Experience with monitoring systems' 'Solid networking knowledge '
 'with a minimum of 2 years Experience']"
244,Info Security Tech Analyst (Identity Access Management),Citi,"['Identify opportunities to automate and standardize information security controls and for the supported groups'
 'Resolve any vulnerabilities or issues detected in an application or infrastructure'
 'Analyze source code to mitigate identified weaknesses and vulnerabilities within the system'
 'Review and validate automated testing results and prioritize actions that resolve issues based on overall risk'
 'Scan and analyze applications with automated tools, and perform manual testing if necessary'
 'Reduce risk by analyzing the root cause of issues, their impact, and required corrective actions'
 'Direct the development and delivery of secure solutions by coordinating with business and technical contacts'
 ""Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.""
 '5-8 years of relevant experience'
 'Consistently demonstrates clear and concise written and verbal communication'
 'Proven influencing and relationship management skills'
 'Proven analytical skills'
 ""Bachelor's degree/University degree or equivalent experience""]"
245,Enterprise Architect,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,[]
246,Solution Architect,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,[]
